School Year,School Level,School ID,School Name,State School ID,ZIP,"Pre-K, 3 Years","Pre-K, 4 Years",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic / Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
19-20,Alternative Learning Center,117,Transitions at Bass,725,37209,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,36.1549780692,-86.8520459267,"(36.1549780692, -86.8520459267)"
19-20,Elementary School,717,Tulip Grove Elementary,637,37076,5,37,92,110,82,101,105,,,,,,,,,4,19,196,138,,175,280,252,187,100,92,36.1984960718,-86.610888928,"(36.1984960718, -86.610888928)"
19-20,Elementary School,725,Tusculum Elementary,645,37211,3,60,158,154,134,143,143,,,,,,,,,1,89,129,480,,95,408,387,360,54,516,36.0622421154,-86.7189946606,"(36.0622421154, -86.7189946606)"
19-20,Middle School,730,Two Rivers Middle,650,37214,,,,,,,,88,121,96,107,,,,,1,6,181,110,1,113,202,210,205,60,116,36.194467241,-86.6739737732,"(36.194467241, -86.6739737732)"
19-20,Elementary School,735,Una Elementary,655,37217,,40,122,126,153,142,131,,,,,,,,,,21,204,253,,236,361,353,244,57,334,36.0950303613,-86.6528803773,"(36.0950303613, -86.6528803773)"
19-20,Charter,743,Valor Flagship Academy,8045,37211,,,,,,,,124,130,126,122,239,208,,,,59,143,194,4,549,475,474,245,91,233,36.0708005834,-86.725494633,"(36.0708005834, -86.725494633)"
19-20,Charter,744,Valor Voyager Academy,8080,37211,,,,,,,,124,129,121,128,,,,,,24,77,142,,258,245,257,138,61,163,36.0706506329,-86.7250511979,"(36.0706506329, -86.7250511979)"
19-20,Adult,114,W. A. Bass Adult Program,125,37209,,,,,,,,,,,,9,38,45,202,2,10,197,40,1,44,139,155,120,62,68,36.1540731279,-86.8518765886,"(36.1540731279, -86.8518765886)"
19-20,Alternative Learning Center,116,W.A. Bass Alternative Learning Center,126,37209,,,,,,,,,,,,9,18,22,20,,1,54,6,,8,44,25,41,19,4,36.1545841136,-86.8510016583,"(36.1545841136, -86.8510016583)"
19-20,Elementary School,755,Warner Elementary,675,37206,2,29,44,33,44,28,36,,,,,,,,,,1,179,14,2,20,115,101,169,37,24,36.1720753383,-86.7600969964,"(36.1720753383, -86.7600969964)"
19-20,Elementary School,765,Waverly-Belmont Elementary School,755,37204,,,96,118,94,108,86,,,,,,,,,1,16,207,20,,258,257,245,110,67,11,36.1264618728,-86.7866295627,"(36.1264618728, -86.7866295627)"
19-20,Middle School,770,West End Middle,690,37205,,,,,,,,123,137,135,105,,,,,1,21,204,25,1,248,261,239,101,112,25,36.131974712,-86.8243226532,"(36.131974712, -86.8243226532)"
19-20,Elementary School,775,Westmeade Elementary,695,37205,,,74,97,82,89,81,,,,,,,,,2,24,140,73,1,183,241,182,116,46,65,36.0919967834,-86.8941366526,"(36.0919967834, -86.8941366526)"
19-20,High School,787,Whites Creek High School,704,37189,,,,,,,,,,,,134,106,142,129,,,419,28,1,63,260,251,277,104,18,36.2766453173,-86.8188329872,"(36.2766453173, -86.8188329872)"
19-20,Middle School,612,William Henry Oliver Middle,538,37211,,,,,,,,231,269,235,238,,,,,2,75,307,154,3,432,487,486,227,113,224,36.0201739757,-86.7122071016,"(36.0201739757, -86.7122071016)"
19-20,Middle School,805,Wright Middle,715,37211,,,,,,,,183,212,216,193,,,,,,36,139,522,1,106,442,362,364,82,527,36.1001088774,-86.7341334228,"(36.1001088774, -86.7341334228)"
