School Year,School Level,School ID,School Name,State School ID,ZIP,"Pre-K, 3 Years","Pre-K, 4 Years",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic / Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
19-20,High School,440,Hillwood High,340,37205,,,,,,,,,,,,303,280,270,253,1,72,408,190,1,434,591,515,332,174,166,36.1188066874,-86.8739001973,"(36.1188066874, -86.8739001973)"
19-20,Elementary School,451,Hull-Jackson Elementary,350,37208,73,60,72,64,58,33,67,,,,,,,,,6,8,366,22,,25,214,213,178,44,4,36.1903186918,-86.8071782328,"(36.1903186918, -86.8071782328)"
19-20,High School,450,Hume-Fogg High,355,37203,,,,,,,,,,,,232,227,227,222,3,100,198,68,,539,347,561,56,27,8,36.1595246071,-86.781536017,"(36.1595246071, -86.781536017)"
19-20,High School,452,Hunters Lane High,358,37207,,,,,,,,,,,,393,346,334,244,1,10,540,563,4,199,732,585,542,143,358,36.2788275473,-86.7538434982,"(36.2788275473, -86.7538434982)"
19-20,Elementary School,175,Ida B. Wells Elementary,80,37207,,20,51,44,57,54,41,,,,,,,,,1,,248,11,1,6,137,130,194,24,26,36.1783097577,-86.769001134,"(36.1783097577, -86.769001134)"
19-20,Elementary School,455,Inglewood Elementary,360,37216,,39,33,35,33,41,27,,,,,,,,,,1,155,15,1,36,97,111,118,16,5,36.1978312773,-86.7238406355,"(36.1978312773, -86.7238406355)"
19-20,Charter,457,Intrepid College Prep Charter,8048,37013,,,,,,,,105,119,120,106,95,87,41,,,6,144,446,,77,343,330,182,59,343,36.0501591002,-86.6457200764,"(36.0501591002, -86.6457200764)"
19-20,Middle School,510,Isaac Litton Middle,365,37216,,,,,,,,121,120,118,105,,,,,2,5,171,53,1,232,246,218,132,79,34,36.2282154457,-86.7221587445,"(36.2282154457, -86.7221587445)"
19-20,Elementary School,152,Ivanetta H. Davis Learning Center at Bordeaux,7010,37218,26,132,,,,,,,,,,,,,,,2,123,12,,21,98,60,59,38,,36.1915875124,-86.832635707,"(36.1915875124, -86.832635707)"
19-20,Elementary School,310,J.E. Moss Elementary,370,37013,1,35,126,149,188,130,144,,,,,,,,,1,67,109,518,,78,402,371,290,62,427,36.0673533812,-86.6697465788,"(36.0673533812, -86.6697465788)"
19-20,Middle School,120,Jere Baxter Middle,375,37207,,,,,,,,83,60,61,71,,,,,,1,145,79,,50,146,129,187,49,70,36.2190280292,-86.7508830358,"(36.2190280292, -86.7508830358)"
19-20,Elementary School,465,Joelton Elementary,380,37080,,19,49,41,56,48,50,,,,,,,,,,3,37,22,,201,125,138,86,47,12,36.315679553,-86.8680398063,"(36.315679553, -86.8680398063)"
19-20,Middle School,470,Joelton Middle,385,37080,,,,,,,,66,82,65,81,,,,,1,,204,22,,67,172,122,193,56,12,36.3138460672,-86.8657762415,"(36.3138460672, -86.8657762415)"
19-20,Elementary School,790,John B. Whitsitt Elementary,390,37210,,26,81,88,84,82,79,,,,,,,,,2,10,48,309,,71,223,217,185,40,231,36.1150448454,-86.7356845538,"(36.1150448454, -86.7356845538)"
19-20,Middle School,285,John Early Middle,386,37208,,,,,,,,74,69,73,83,,,,,,6,251,35,,7,153,146,218,50,28,36.1871534218,-86.8047130677,"(36.1871534218, -86.8047130677)"
